img_path,dataset
whichfaceisreal/real/00880.jpeg,real
styleclip/fake/00072.jpg,styleclip
starganv2/fake/1768.jpg,starganv2
stargan/real/real/1445.jpg,real
styleclip/fake/00970.jpg,styleclip
styleclip/real/099967.jpg,real
starganv2/real/1135.jpg,real
stargan/fake/fake/557.jpg,stargan
styleclip/real/058886.jpg,real
MidJourney/MidJourney/real/25896.jpg,MidJourney
CollabDiff/real/195387.jpg,real
styleclip/fake/01692.jpg,styleclip
stargan/real/real/1615.jpg,real
stargan/real/real/1369.jpg,real
stargan/fake/fake/1320.jpg,stargan
starganv2/fake/1880.jpg,starganv2
starganv2/real/435.jpg,real
stargan/real/real/901.jpg,real
starganv2/real/1268.jpg,real
starganv2/real/1527.jpg,real
whichfaceisreal/real/00140.jpeg,real
styleclip/real/136298.jpg,real
styleclip/fake/02338.jpg,styleclip
whichfaceisreal/fake/476.png,whichfaceisreal
CollabDiff/fake/775/000000_x_0.png,CollabDiff
whichfaceisreal/fake/868.png,whichfaceisreal
styleclip/fake/01808.jpg,styleclip
MidJourney/MidJourney/fake/13592447708_Caucasian_male_face_face_close-up_studio_lights_fac_ebc70dd0-c6f2-4986-b69c-ead9e21a3045.png,MidJourney
starganv2/fake/102.jpg,starganv2
MidJourney/MidJourney/real/56419.jpg,MidJourney
CollabDiff/fake/178/000000_x_0.png,CollabDiff
MidJourney/MidJourney/fake/13592447708_Face_of_clean_caucasian_male_face_only_shown_close-_983df44e-e027-48d0-a159-b25c6b579c79.png,MidJourney
stargan/real/real/641.jpg,real
CollabDiff/fake/389/000000_x_0.png,CollabDiff
starganv2/real/864.jpg,real
whichfaceisreal/real/00832.jpeg,real
stargan/real/real/1278.jpg,real
CollabDiff/fake/279/000000_x_0.png,CollabDiff
styleclip/real/115007.jpg,real
starganv2/real/596.jpg,real
CollabDiff/fake/527/000000_x_0.png,CollabDiff
MidJourney/MidJourney/real/58257.jpg,MidJourney
styleclip/fake/00570.jpg,styleclip
stargan/fake/fake/1919.jpg,stargan
starganv2/real/1566.jpg,real
stargan/fake/fake/1352.jpg,stargan
whichfaceisreal/fake/826.png,whichfaceisreal
MidJourney/MidJourney/real/07533.jpg,MidJourney
MidJourney/MidJourney/fake/13592447708_Single_person_East_Asian_woman_looking_at_the_camer_3e7bfb4b-c38d-450f-992a-b53e7505dfed.png,MidJourney
MidJourney/MidJourney/fake/13592447708_Single_person_white_male_looking_at_the_camera_faci_87856f5b-41df-4a3d-98bf-4ef601089572.png,MidJourney
starganv2/fake/351.jpg,starganv2
styleclip/fake/01111.jpg,styleclip
whichfaceisreal/fake/853.png,whichfaceisreal
styleclip/fake/01894.jpg,styleclip
stargan/fake/fake/400.jpg,stargan
starganv2/fake/1202.jpg,starganv2
MidJourney/MidJourney/real/68939.jpg,MidJourney
CollabDiff/fake/19/000000_x_0.png,CollabDiff
styleclip/fake/02168.jpg,styleclip
CollabDiff/fake/658/000000_x_0.png,CollabDiff
styleclip/fake/00752.jpg,styleclip
MidJourney/MidJourney/real/68412.jpg,MidJourney
styleclip/real/164099.jpg,real
stargan/real/real/211.jpg,real
stargan/real/real/1901.jpg,real
stargan/real/real/659.jpg,real
stargan/fake/fake/554.jpg,stargan
stargan/real/real/295.jpg,real
MidJourney/MidJourney/fake/13592447708_black_female_face_face_only_face_close-up_face_clos_e480c382-1b1d-4a42-b565-5a22c452de65.png,MidJourney
starganv2/fake/1631.jpg,starganv2
